[2025-12-27 14:44:08,555] 17 root - INFO - Initiate the data ingestion
[2025-12-27 14:44:11,722] 68 root - INFO - perform train test split on the dataframe
[2025-12-27 14:44:11,722] 69 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2025-12-27 14:44:11,722] 74 root - INFO - Exporting train and test file path
[2025-12-27 14:44:11,767] 83 root - INFO - Exported train and test file path.
[2025-12-27 14:44:11,767] 19 root - INFO - Data initiation Completed
[2025-12-27 14:44:11,773] 23 root - INFO - Initiate the data validation 
[2025-12-27 14:44:11,821] 34 root - INFO - Required number of columns : 2
[2025-12-27 14:44:11,821] 35 root - INFO - Dataframe has columns:31
[2025-12-27 14:44:11,822] 34 root - INFO - Required number of columns : 2
[2025-12-27 14:44:11,822] 35 root - INFO - Dataframe has columns:31
[2025-12-27 14:44:11,959] 25 root - INFO - data Validaton Completed
[2025-12-27 14:44:11,960] 28 root - INFO - data Transformation started
[2025-12-27 14:44:11,960] 63 root - INFO - Entered initiate_date_transformation method of DataTransformation class
[2025-12-27 14:44:11,960] 65 root - INFO - Starting data transformatin 
[2025-12-27 14:44:11,979] 50 root - INFO - Entered get_data_transformer_oboject method of Transformation class
[2025-12-27 14:44:11,979] 54 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-12-27 14:44:11,989] 50 root - INFO - Entered the save_object method of MainUtils class
[2025-12-27 14:44:11,992] 54 root - INFO - Exited the save_object method of MainUtils class
[2025-12-27 14:44:11,994] 32 root - INFO - data Transformatin completed
